IGRA,LAT,LON,Number,Name,Fir_date,Last_date,Other_Number
IDM00096163,-0.7883,100.2808,3.0,MIA PADANG ,3,2019,36420
IDM00096171,-0.3333,102.3167,46.0,RENGAT/JAPURA ,46,2019,16693
IDM00096179,-0.4833,104.5833,31.0,SINGKEP/DABO ,31,2019,21596
IDM00096195,-1.6333,103.65,25.0,JAMBI/SULTAN TAHA ,25,2019,11946
IDM00096207,-2.0939,101.4698,782.0,KERINCI/DEPATI PARBO ,782,2019,797
IDM00096221,-2.9,104.7,10.0,PALEMBANG/ST. M. BADARUDIN II ,10,2019,28642
IDM00096237,-2.1667,106.1333,33.0,PANGKAL PINANG ,33,2019,31555
IDM00096249,-2.75,107.75,44.0,TANJUNG PANDAN/BULUH TUMBANG ,44,2019,15159
IDM00096253,-3.8833,102.3333,16.0,BENGKULU/PADANG KEMILING ,16,2019,27609
IDM00096273,-4.45,105.183,19.0,MENGGALA/ASTRA KSET ,19,1979,181
IDM00096295,-5.1,105.1833,96.0,TANJUNG KARANG/RADIN INTEN II ,96,2019,20843
IDM00096509,3.3333,117.5667,6.0,TARAKAN/JUWATA ,6,2019,13283
IDM00096529,2.1167,117.45,26.0,TANJUNG REDEP/KALIMARAU ,26,2019,3918
IDM00096535,1.7667,109.3,15.0,PALOH ,15,2019,4243
IDM00096565,0.8833,112.9333,53.0,PUTUSSIBAU/PAGSUMA ,53,2019,1986
IDM00096581,-0.15,109.4,3.0,PONTIANAK/SUPADIO ,3,2019,20760
IDM00096595,-0.95,114.9,60.0,MUARA TEWEH/BERINGIN ,60,2019,5805
IDM00096607,-0.4844,117.1569,3.0,SAMARINDA/TEMINDUNG ,3,2019,3704
IDM00096633,-1.2667,116.9,3.0,BALIKPAPAN/SEPINGGAN ,3,2019,20615
IDM00096645,-2.7,111.7,25.0,PANGKALAN BUN/ISKANDAR ,25,2019,14084
IDM00096655,-2.225,113.9428,27.0,PALANGKA RAYA/TJILIK RIWUT ,27,2019,9399
IDM00096685,-3.4333,114.75,20.0,BANJARMASIN/SYAMSUDIN NOOR ,20,2019,20868
IDM00096737,-6.1167,106.1333,40.0,SERANG ,40,2019,9959
IDM00096739,-6.2333,106.65,46.0,CURUG/BUDIARTO ,46,2019,14379
